date,Total
2000,2532700
2001,-8266509
2002,-11365484
2003,-1715469
2004,-9104424
2005,-27219896
2006,18186112
2007,7691404
2008,-23749834
2009,-2526277
2010,3665995
2011,1392188
2012,363732
2013,12711213
2014,8504503
2015,26383280
2016,15383077
